,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
mu,0.0,0.016,-0.031,0.03,0.0,0.0,5168.0,2792.0,1.0
sigma2,0.219,0.015,0.191,0.247,0.0,0.0,1444.0,2379.0,1.0
beta[0],-0.003,0.015,-0.03,0.025,0.0,0.0,5300.0,2865.0,1.0
beta[1],-0.002,0.015,-0.029,0.027,0.0,0.0,5460.0,3122.0,1.0
beta[2],0.0,0.015,-0.026,0.03,0.0,0.0,5940.0,2569.0,1.0
beta[3],0.008,0.015,-0.022,0.036,0.0,0.0,5873.0,2861.0,1.0
beta[4],0.003,0.015,-0.027,0.029,0.0,0.0,5890.0,2985.0,1.0
beta[5],-0.002,0.015,-0.031,0.026,0.0,0.0,6145.0,2923.0,1.0
beta[6],-0.003,0.015,-0.032,0.023,0.0,0.0,6089.0,3016.0,1.0
beta[7],0.015,0.015,-0.015,0.04,0.0,0.0,4908.0,2614.0,1.0
beta[8],0.0,0.015,-0.028,0.028,0.0,0.0,6276.0,3028.0,1.0
beta[9],-0.006,0.014,-0.035,0.019,0.0,0.0,5983.0,3354.0,1.0
beta[10],0.008,0.015,-0.02,0.034,0.0,0.0,6172.0,3332.0,1.0
beta[11],-0.008,0.015,-0.035,0.019,0.0,0.0,5812.0,3288.0,1.0
beta[12],0.003,0.015,-0.025,0.03,0.0,0.0,5633.0,3047.0,1.0
beta[13],-0.0,0.015,-0.027,0.029,0.0,0.0,5687.0,3249.0,1.0
beta[14],0.0,0.015,-0.029,0.029,0.0,0.0,5631.0,2735.0,1.0
beta[15],-0.003,0.015,-0.032,0.026,0.0,0.0,6120.0,2483.0,1.0
beta[16],-0.009,0.015,-0.036,0.019,0.0,0.0,6664.0,3072.0,1.0
beta[17],0.003,0.015,-0.025,0.031,0.0,0.0,5870.0,3118.0,1.0
beta[18],0.008,0.015,-0.02,0.036,0.0,0.0,6295.0,2791.0,1.0
beta[19],-0.002,0.015,-0.03,0.026,0.0,0.0,6188.0,3267.0,1.0
beta[20],-0.002,0.015,-0.029,0.025,0.0,0.0,7326.0,3126.0,1.0
beta[21],0.003,0.014,-0.022,0.031,0.0,0.0,5484.0,3181.0,1.0
beta[22],0.001,0.015,-0.028,0.029,0.0,0.0,5806.0,2830.0,1.0
beta[23],0.004,0.014,-0.021,0.031,0.0,0.0,5257.0,3221.0,1.0
beta[24],0.0,0.015,-0.027,0.028,0.0,0.0,6211.0,2502.0,1.0
beta[25],-0.001,0.014,-0.026,0.026,0.0,0.0,5656.0,2957.0,1.0
beta[26],0.007,0.015,-0.019,0.036,0.0,0.0,6751.0,2765.0,1.0
beta[27],0.001,0.015,-0.026,0.028,0.0,0.0,5236.0,2700.0,1.0
beta[28],0.003,0.014,-0.024,0.029,0.0,0.0,5602.0,2999.0,1.0
beta[29],0.011,0.015,-0.017,0.039,0.0,0.0,5844.0,2912.0,1.0
beta[30],-0.007,0.015,-0.035,0.02,0.0,0.0,5502.0,2949.0,1.0
beta[31],-0.003,0.014,-0.03,0.023,0.0,0.0,5985.0,3013.0,1.0
beta[32],-0.008,0.015,-0.037,0.018,0.0,0.0,5453.0,2969.0,1.0
beta[33],-0.002,0.015,-0.03,0.024,0.0,0.0,6310.0,2762.0,1.0
beta[34],-0.002,0.015,-0.03,0.025,0.0,0.0,5100.0,2961.0,1.0
beta[35],-0.011,0.014,-0.041,0.014,0.0,0.0,5648.0,2715.0,1.0
beta[36],0.002,0.015,-0.026,0.028,0.0,0.0,6086.0,3190.0,1.0
beta[37],-0.002,0.015,-0.03,0.027,0.0,0.0,5875.0,2884.0,1.0
beta[38],-0.009,0.014,-0.037,0.017,0.0,0.0,5159.0,3479.0,1.0
beta[39],0.001,0.015,-0.028,0.029,0.0,0.0,7054.0,2801.0,1.0
beta[40],-0.003,0.014,-0.029,0.024,0.0,0.0,5513.0,3185.0,1.0
beta[41],0.0,0.015,-0.028,0.027,0.0,0.0,4955.0,3301.0,1.0
beta[42],-0.002,0.015,-0.028,0.026,0.0,0.0,5767.0,3094.0,1.0
beta[43],-0.001,0.015,-0.029,0.026,0.0,0.0,5066.0,2947.0,1.0
beta[44],-0.002,0.015,-0.03,0.025,0.0,0.0,5587.0,2723.0,1.0
beta[45],0.0,0.014,-0.026,0.028,0.0,0.0,6082.0,2935.0,1.0
beta[46],-0.001,0.014,-0.029,0.026,0.0,0.0,5424.0,2809.0,1.0
beta[47],-0.003,0.015,-0.029,0.027,0.0,0.0,6407.0,3094.0,1.0
beta[48],0.002,0.014,-0.027,0.027,0.0,0.0,5140.0,2738.0,1.0
beta[49],-0.001,0.015,-0.028,0.026,0.0,0.0,5047.0,3218.0,1.0
beta[50],-0.002,0.015,-0.032,0.024,0.0,0.0,5791.0,3056.0,1.0
beta[51],-0.002,0.015,-0.03,0.026,0.0,0.0,6509.0,2686.0,1.0
beta[52],0.016,0.015,-0.011,0.046,0.0,0.0,4893.0,2966.0,1.0
beta[53],-0.006,0.015,-0.034,0.023,0.0,0.0,6818.0,2950.0,1.0
beta[54],-0.003,0.014,-0.03,0.023,0.0,0.0,6508.0,2836.0,1.0
beta[55],-0.006,0.015,-0.034,0.02,0.0,0.0,5177.0,3106.0,1.0
beta[56],0.003,0.014,-0.025,0.029,0.0,0.0,4717.0,3065.0,1.0
beta[57],0.004,0.015,-0.024,0.031,0.0,0.0,5647.0,2432.0,1.0
beta[58],-0.001,0.015,-0.028,0.027,0.0,0.0,6110.0,2905.0,1.0
beta[59],0.008,0.015,-0.017,0.038,0.0,0.0,6113.0,3173.0,1.0
beta[60],0.002,0.015,-0.025,0.031,0.0,0.0,5071.0,2780.0,1.0
beta[61],0.008,0.015,-0.021,0.037,0.0,0.0,5377.0,3046.0,1.0
beta[62],-0.006,0.015,-0.033,0.022,0.0,0.0,5013.0,2881.0,1.0
beta[63],0.003,0.014,-0.022,0.031,0.0,0.0,5302.0,3111.0,1.0
beta[64],0.016,0.015,-0.011,0.045,0.0,0.0,6186.0,2748.0,1.0
beta[65],0.013,0.015,-0.015,0.041,0.0,0.0,4446.0,3037.0,1.0
beta[66],-0.007,0.015,-0.034,0.021,0.0,0.0,4340.0,2675.0,1.0
beta[67],0.001,0.015,-0.027,0.028,0.0,0.0,5944.0,2769.0,1.0
beta[68],-0.004,0.015,-0.032,0.024,0.0,0.0,5997.0,3059.0,1.0
beta[69],-0.002,0.014,-0.027,0.025,0.0,0.0,5486.0,3052.0,1.0
beta[70],-0.004,0.015,-0.032,0.023,0.0,0.0,5379.0,3199.0,1.0
beta[71],-0.003,0.015,-0.034,0.024,0.0,0.0,6285.0,2606.0,1.0
beta[72],0.005,0.014,-0.021,0.032,0.0,0.0,6106.0,2924.0,1.0
beta[73],0.004,0.015,-0.025,0.03,0.0,0.0,5572.0,2991.0,1.0
beta[74],-0.005,0.014,-0.033,0.021,0.0,0.0,5530.0,2991.0,1.0
beta[75],0.001,0.014,-0.027,0.026,0.0,0.0,5946.0,2745.0,1.0
beta[76],-0.001,0.015,-0.029,0.027,0.0,0.0,5771.0,2804.0,1.0
beta[77],0.004,0.015,-0.023,0.032,0.0,0.0,5865.0,3209.0,1.0
beta[78],-0.004,0.014,-0.032,0.022,0.0,0.0,5342.0,3010.0,1.0
beta[79],0.003,0.015,-0.024,0.032,0.0,0.0,6058.0,3059.0,1.0
beta[80],0.004,0.015,-0.024,0.031,0.0,0.0,5711.0,3006.0,1.0
beta[81],0.004,0.015,-0.025,0.03,0.0,0.0,5690.0,2842.0,1.0
beta[82],0.004,0.015,-0.022,0.034,0.0,0.0,4735.0,3133.0,1.0
beta[83],-0.002,0.015,-0.03,0.026,0.0,0.0,6064.0,3038.0,1.0
beta[84],-0.001,0.015,-0.028,0.027,0.0,0.0,6042.0,2878.0,1.0
beta[85],-0.003,0.015,-0.029,0.025,0.0,0.0,5791.0,3372.0,1.0
beta[86],-0.003,0.015,-0.029,0.025,0.0,0.0,7162.0,3240.0,1.0
beta[87],-0.002,0.015,-0.03,0.026,0.0,0.0,5879.0,3080.0,1.0
beta[88],0.008,0.015,-0.02,0.035,0.0,0.0,5765.0,3056.0,1.0
beta[89],-0.003,0.015,-0.03,0.024,0.0,0.0,6646.0,3282.0,1.0
beta[90],-0.003,0.016,-0.032,0.026,0.0,0.0,6988.0,2938.0,1.0
beta[91],0.003,0.015,-0.024,0.032,0.0,0.0,6821.0,3245.0,1.0
beta[92],-0.015,0.015,-0.042,0.013,0.0,0.0,5239.0,2716.0,1.0
beta[93],-0.005,0.015,-0.034,0.022,0.0,0.0,6091.0,2975.0,1.0
beta[94],-0.005,0.015,-0.032,0.024,0.0,0.0,5857.0,2827.0,1.0
beta[95],0.006,0.015,-0.022,0.035,0.0,0.0,6008.0,2963.0,1.0
beta[96],0.005,0.015,-0.021,0.033,0.0,0.0,6342.0,3018.0,1.0
beta[97],0.0,0.015,-0.026,0.028,0.0,0.0,5899.0,2980.0,1.0
beta[98],-0.004,0.014,-0.032,0.022,0.0,0.0,6175.0,3202.0,1.0
beta[99],-0.007,0.014,-0.034,0.02,0.0,0.0,5854.0,2671.0,1.0
beta[100],0.0,0.014,-0.027,0.027,0.0,0.0,5079.0,3394.0,1.0
beta[101],0.005,0.014,-0.023,0.031,0.0,0.0,6101.0,3168.0,1.0
beta[102],0.014,0.015,-0.014,0.04,0.0,0.0,6119.0,3320.0,1.0
beta[103],0.006,0.015,-0.02,0.035,0.0,0.0,4369.0,3129.0,1.0
beta[104],0.002,0.014,-0.025,0.029,0.0,0.0,5971.0,2942.0,1.0
beta[105],0.016,0.015,-0.013,0.042,0.0,0.0,6001.0,3022.0,1.0
beta[106],0.002,0.015,-0.024,0.03,0.0,0.0,5271.0,2843.0,1.0
beta[107],-0.002,0.015,-0.03,0.025,0.0,0.0,6894.0,3231.0,1.0
beta[108],0.006,0.015,-0.021,0.036,0.0,0.0,5132.0,3007.0,1.0
