,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
mu,0.0,0.016,-0.029,0.031,0.0,0.0,4413.0,2594.0,1.0
sigma2,0.216,0.015,0.189,0.243,0.0,0.0,1490.0,2373.0,1.0
beta[0],-0.002,0.013,-0.031,0.021,0.0,0.0,4027.0,2309.0,1.0
beta[1],-0.002,0.014,-0.031,0.025,0.0,0.0,3534.0,1758.0,1.0
beta[2],0.001,0.014,-0.026,0.026,0.0,0.0,3072.0,2047.0,1.0
beta[3],0.007,0.016,-0.02,0.041,0.0,0.0,3431.0,1749.0,1.0
beta[4],0.003,0.015,-0.025,0.032,0.0,0.0,4280.0,1854.0,1.0
beta[5],-0.003,0.015,-0.031,0.026,0.0,0.0,3456.0,1955.0,1.0
beta[6],-0.003,0.013,-0.031,0.021,0.0,0.0,4199.0,2227.0,1.0
beta[7],0.017,0.02,-0.016,0.057,0.0,0.0,2527.0,2009.0,1.0
beta[8],-0.0,0.014,-0.028,0.028,0.0,0.0,4413.0,2415.0,1.0
beta[9],-0.006,0.014,-0.034,0.02,0.0,0.0,3323.0,1784.0,1.0
beta[10],0.008,0.015,-0.021,0.038,0.0,0.0,2880.0,1459.0,1.0
beta[11],-0.007,0.014,-0.036,0.017,0.0,0.0,3252.0,1965.0,1.0
beta[12],0.002,0.013,-0.022,0.029,0.0,0.0,3755.0,2449.0,1.0
beta[13],0.0,0.014,-0.029,0.027,0.0,0.0,2984.0,1953.0,1.0
beta[14],-0.0,0.014,-0.027,0.026,0.0,0.0,3826.0,2077.0,1.0
beta[15],-0.002,0.014,-0.033,0.023,0.0,0.0,4178.0,2053.0,1.0
beta[16],-0.009,0.016,-0.043,0.018,0.0,0.0,2709.0,1767.0,1.0
beta[17],0.002,0.014,-0.026,0.029,0.0,0.0,3226.0,2051.0,1.0
beta[18],0.007,0.015,-0.017,0.04,0.0,0.0,3128.0,1796.0,1.0
beta[19],-0.002,0.013,-0.031,0.022,0.0,0.0,3688.0,2230.0,1.0
